model,eps,min_samples,cluster_count_excluding_noise,noise_count,noise_ratio,silhouette_score,calinski_harabasz_score,davies_bouldin_score,training_time_seconds
DBSCAN,0.3,3,0,178,1.0,,,,0.0033309999998891726
DBSCAN,0.3,4,0,178,1.0,,,,0.0027551000002858927
DBSCAN,0.3,5,0,178,1.0,,,,0.003522299999531242
DBSCAN,0.3,6,0,178,1.0,,,,0.003872199999022996
DBSCAN,0.3,8,0,178,1.0,,,,0.002769500000795233
DBSCAN,0.3,10,0,178,1.0,,,,0.002602399999886984
DBSCAN,0.4,3,0,178,1.0,,,,0.002479799999491661
DBSCAN,0.4,4,0,178,1.0,,,,0.004347399999460322
DBSCAN,0.4,5,0,178,1.0,,,,0.003638100000898703
DBSCAN,0.4,6,0,178,1.0,,,,0.003577699999368633
DBSCAN,0.4,8,0,178,1.0,,,,0.002723699999478413
DBSCAN,0.4,10,0,178,1.0,,,,0.003927799998564296
DBSCAN,0.5,3,0,178,1.0,,,,0.004775499999595922
DBSCAN,0.5,4,0,178,1.0,,,,0.004334700000981684
DBSCAN,0.5,5,0,178,1.0,,,,0.0031981000011001015
DBSCAN,0.5,6,0,178,1.0,,,,0.004001999999672989
DBSCAN,0.5,8,0,178,1.0,,,,0.00312839999969583
DBSCAN,0.5,10,0,178,1.0,,,,0.004989400000340538
DBSCAN,0.6,3,0,178,1.0,,,,0.003038599999854341
DBSCAN,0.6,4,0,178,1.0,,,,0.004466500000489759
DBSCAN,0.6,5,0,178,1.0,,,,0.0049849999995785765
DBSCAN,0.6,6,0,178,1.0,,,,0.003443899999183486
DBSCAN,0.6,8,0,178,1.0,,,,0.0037062000010337215
DBSCAN,0.6,10,0,178,1.0,,,,0.004623799999535549
DBSCAN,0.7,3,0,178,1.0,,,,0.00549949999913224
DBSCAN,0.7,4,0,178,1.0,,,,0.0028679999995802063
DBSCAN,0.7,5,0,178,1.0,,,,0.003634599999713828
DBSCAN,0.7,6,0,178,1.0,,,,0.0029107000009389594
DBSCAN,0.7,8,0,178,1.0,,,,0.005268400000204565
DBSCAN,0.7,10,0,178,1.0,,,,0.0049878999998327345
DBSCAN,0.8,3,0,178,1.0,,,,0.003594199999497505
DBSCAN,0.8,4,0,178,1.0,,,,0.003363900001204456
DBSCAN,0.8,5,0,178,1.0,,,,0.003560700000889483
DBSCAN,0.8,6,0,178,1.0,,,,0.0032557000013184734
DBSCAN,0.8,8,0,178,1.0,,,,0.00502750000123342
DBSCAN,0.8,10,0,178,1.0,,,,0.0033159000013256446
DBSCAN,0.9,3,0,178,1.0,,,,0.005511000001206412
DBSCAN,0.9,4,0,178,1.0,,,,0.0036244999992049998
DBSCAN,0.9,5,0,178,1.0,,,,0.0035812999994959682
DBSCAN,0.9,6,0,178,1.0,,,,0.004731700000775163
DBSCAN,0.9,8,0,178,1.0,,,,0.004661599999963073
DBSCAN,0.9,10,0,178,1.0,,,,0.006860499999675085
DBSCAN,1.0,3,0,178,1.0,,,,0.005504599999767379
DBSCAN,1.0,4,0,178,1.0,,,,0.006025900000167894
DBSCAN,1.0,5,0,178,1.0,,,,0.0037704000005760463
DBSCAN,1.0,6,0,178,1.0,,,,0.004513599998972495
DBSCAN,1.0,8,0,178,1.0,,,,0.0044814000011683675
DBSCAN,1.0,10,0,178,1.0,,,,0.007731499999863445
DBSCAN,1.1,3,0,178,1.0,,,,0.004615699999703793
DBSCAN,1.1,4,0,178,1.0,,,,0.005439900000055786
DBSCAN,1.1,5,0,178,1.0,,,,0.00478349999866623
DBSCAN,1.1,6,0,178,1.0,,,,0.0034980000000359723
DBSCAN,1.1,8,0,178,1.0,,,,0.0052390999990166165
DBSCAN,1.1,10,0,178,1.0,,,,0.005460000000311993
DBSCAN,1.2,3,0,178,1.0,,,,0.005245899999863468
DBSCAN,1.2,4,0,178,1.0,,,,0.005849299999681534
DBSCAN,1.2,5,0,178,1.0,,,,0.004656099999920116
DBSCAN,1.2,6,0,178,1.0,,,,0.004914499999358668
DBSCAN,1.2,8,0,178,1.0,,,,0.006281900001340546
DBSCAN,1.2,10,0,178,1.0,,,,0.006022800000209827
DBSCAN,1.3,3,0,178,1.0,,,,0.004349499999079853
DBSCAN,1.3,4,0,178,1.0,,,,0.005731199998990633
DBSCAN,1.3,5,0,178,1.0,,,,0.0065835000004881294
DBSCAN,1.3,6,0,178,1.0,,,,0.0063188000003719935
DBSCAN,1.3,8,0,178,1.0,,,,0.006029599999237689
DBSCAN,1.3,10,0,178,1.0,,,,0.006199499999638647
DBSCAN,1.4,3,4,165,0.9269662921348315,0.5330325811835722,32.64151201971942,0.5843186379276216,0.004915599998639664
DBSCAN,1.4,4,0,178,1.0,,,,0.009996499999033404
DBSCAN,1.4,5,0,178,1.0,,,,0.005557800001042779
DBSCAN,1.4,6,0,178,1.0,,,,0.0077836000000388594
DBSCAN,1.4,8,0,178,1.0,,,,0.005777500000476721
DBSCAN,1.4,10,0,178,1.0,,,,0.006624399999054731
DBSCAN,1.5,3,8,147,0.8258426966292135,0.33106692717892844,25.272860737497258,0.9194942181251092,0.003960599999118131
DBSCAN,1.5,4,2,169,0.949438202247191,0.4067015040618877,8.657613065927674,0.8551382674986615,0.0065027999989979435
DBSCAN,1.5,5,0,178,1.0,,,,0.005594099999143509
DBSCAN,1.5,6,0,178,1.0,,,,0.0050747000004776055
DBSCAN,1.5,8,0,178,1.0,,,,0.004046299998663017
DBSCAN,1.5,10,0,178,1.0,,,,0.00493829999868467
DBSCAN,1.6,3,10,124,0.6966292134831461,0.2553569478634023,23.70912744207398,1.0683718094483077,0.006699999999909778
DBSCAN,1.6,4,7,144,0.8089887640449438,0.3127579866781996,26.915866045171537,0.9417278100068598,0.005186700000194833
