algorithm,k,inertia,silhouette,calinski_harabasz,davies_bouldin
agglomerative,2,,0.13464210953473882,590.1051582287787,2.07310089555554
agglomerative,3,,0.15176917951083965,495.8937939942529,1.8767700914760388
agglomerative,4,,0.1495753902422972,429.18894075571677,1.8126519857705765
agglomerative,5,,0.10031414819314097,392.23967164431093,2.0633445010277205
agglomerative,6,,0.07902853859334193,373.868510255136,2.1111102543356175
agglomerative,7,,0.08787819836145479,363.52752873802655,1.912063122670846
agglomerative,8,,0.08031150465827165,348.79490068583283,1.889006813339609
gaussian_mixture,2,,0.14783144516511582,650.8460915080364,2.159853859161265
gaussian_mixture,3,,0.09336155250905813,467.2915439827337,2.770251749301987
gaussian_mixture,4,,0.12248590663423456,408.1724798741455,2.226573764328812
gaussian_mixture,5,,0.07134076063575599,334.9154168877967,2.752537681865555
gaussian_mixture,6,,0.03867536644172319,286.3164066557262,3.0926885239987496
gaussian_mixture,7,,0.04442090974533272,266.6869339248113,2.735977088838587
gaussian_mixture,8,,0.02500007269568413,231.00556994357996,3.418866228041151
kmeans,2,43202.432146933825,0.18077466816921145,752.8023477801746,1.906513661496045
kmeans,3,38902.05905383839,0.18595999746385028,611.177025546817,1.795865315731428
kmeans,4,35740.78802697859,0.14063640244579342,546.4364226613823,1.9614818868549015
kmeans,5,33054.139273760244,0.14334249608132485,514.0327134701554,1.780576931057143
kmeans,6,30676.959005365483,0.15547271032858395,497.11384509733654,1.6446840704576495
kmeans,7,28584.283380893783,0.15205815736738745,487.083508078989,1.5418992011263988
kmeans,8,27317.685419390866,0.13649686597362687,459.86244110181195,1.58897041834604
