column,dtype
id,int64
age,int64
gender,str
region,str
income_level,str
education_level,str
daily_role,str
device_hours_per_day,float64
phone_unlocks,int64
notifications_per_day,int64
social_media_mins,int64
study_mins,int64
physical_activity_days,float64
sleep_hours,float64
sleep_quality,float64
anxiety_score,float64
depression_score,float64
stress_level,float64
happiness_score,float64
focus_score,float64
high_risk_flag,int64
device_type,str
productivity_score,float64
digital_dependence_score,float64
