column,missing_count,missing_rate
id,0,0.0
age,0,0.0
gender,0,0.0
region,0,0.0
income_level,0,0.0
education_level,0,0.0
daily_role,0,0.0
device_hours_per_day,0,0.0
phone_unlocks,0,0.0
notifications_per_day,0,0.0
social_media_mins,0,0.0
study_mins,0,0.0
physical_activity_days,0,0.0
sleep_hours,0,0.0
sleep_quality,0,0.0
anxiety_score,0,0.0
depression_score,0,0.0
stress_level,0,0.0
happiness_score,0,0.0
focus_score,0,0.0
high_risk_flag,0,0.0
device_type,0,0.0
productivity_score,0,0.0
digital_dependence_score,0,0.0
social_media_hours,0,0.0
study_hours,0,0.0
notifications_per_device_hour,0,0.0
unlocks_per_device_hour,0,0.0
device_to_sleep_ratio,0,0.0
activity_sleep_interaction,0,0.0
social_to_study_ratio,0,0.0
