model,search_type,mean_fit_time,std_fit_time,mean_score_time,std_score_time,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_mse,split1_test_neg_mse,split2_test_neg_mse,split3_test_neg_mse,split4_test_neg_mse,mean_test_neg_mse,std_test_neg_mse,rank_test_neg_mse,split0_test_neg_mae,split1_test_neg_mae,split2_test_neg_mae,split3_test_neg_mae,split4_test_neg_mae,mean_test_neg_mae,std_test_neg_mae,rank_test_neg_mae,best_params,param_model__alpha,param_model__n_estimators,param_model__min_samples_leaf,param_model__max_depth,param_model__learning_rate
linear_regression,grid,0.01024312973022461,0.0004023569176639911,0.0045092105865478516,8.920806376395086e-07,{},0.9798000612963517,0.9733749917546842,0.9599038533876775,0.9726956795750435,0.9600663509359295,0.9691681873899374,0.007897448425688727,1,-4.699578052897732,-5.611088738711259,-7.168006668090271,-5.123768135356108,-7.631681132557099,-6.046824545522494,1.1511552193348193,1,-0.891687384367744,-0.8825394975265511,-0.9188513910334504,-0.815501958258594,-0.9730408356960979,-0.8963242133764874,0.051257525047508475,1,{},,,,,
ridge,grid,0.010742092132568359,0.0007503960406317977,0.006126785278320312,0.0013640715373400888,{'model__alpha': 0.01},0.9798003263942549,0.9733751990119878,0.9599040800241383,0.9726956580854529,0.9600657184108201,0.9691681963853307,0.00789763259342136,3,-4.699516377052782,-5.6110450602601025,-7.167966152185399,-5.123772167966277,-7.631802013820304,-6.046820354256973,1.1511977092947618,3,-0.8917023994353651,-0.8825441493674087,-0.9188610966216544,-0.8155220949631079,-0.9730623474540071,-0.8963384175683087,0.05125794570132677,1,{'model__alpha': 0.1},0.01,,,,
ridge,grid,0.013753461837768554,0.0031538465295873532,0.005236959457397461,0.001167539259056505,{'model__alpha': 0.1},0.9798027005028118,0.9733770493627285,0.9599061028150059,0.9726954536211738,0.9600600388889038,0.9691682690381247,0.007899285728173895,1,-4.698964033373257,-5.610655107997626,-7.167604536926764,-5.123810536529985,-7.632887421772412,-6.046784327320009,1.1515789011354096,2,-0.8918376219293046,-0.8825863329081799,-0.9189486144510894,-0.8157031913463326,-0.9732592142099091,-0.8964669949689631,0.05126278182086775,2,{'model__alpha': 0.1},0.1,,,,
ridge,grid,0.014765262603759766,0.0011735015455930026,0.006528663635253906,0.0007044593969107605,{'model__alpha': 1},0.9798253080771778,0.9733941186518225,0.9599247123838796,0.9726923470186707,0.9600045275097816,0.9691682027282663,0.007915388936078828,2,-4.693704311456357,-5.607057839785316,-7.1642776956952074,-5.124393503279092,-7.64349614786225,-6.0465858996156445,1.1552722289398423,1,-0.8932310246393407,-0.8830955137823528,-0.9198744104359619,-0.8175579217485948,-0.9754698127018626,-0.8978457366616226,0.05137267272568669,3,{'model__alpha': 0.1},1.0,,,,
ridge,grid,0.012855148315429688,0.0023460543571903487,0.003696155548095703,0.0006889203819762632,{'model__alpha': 10},0.9799628109285065,0.9734572628974691,0.9599920174636972,0.9725807769450909,0.9595561531134231,0.9691098042696374,0.008039180157517567,4,-4.661713848921024,-5.5937505024730525,-7.152245535458117,-5.145330086902872,-7.729184546022925,-6.056444903955597,1.182229078397162,4,-0.9121258254021114,-0.8991214017023166,-0.9387212525957453,-0.847085253640353,-1.00503231140951,-0.9204172089500073,0.05175826058712461,4,{'model__alpha': 0.1},10.0,,,,
ridge,grid,0.011476230621337891,0.0017287929762884765,0.004093980789184571,0.0005754023960693321,{'model__alpha': 100},0.9787201101485136,0.9715373852701574,0.9579778208185672,0.9696951476911349,0.9574132047737538,0.9670687337404253,0.008227945142216907,5,-4.950832018914212,-5.998355212265299,-7.512324400959377,-5.686830296091657,-8.13872133505164,-6.457412652656437,1.1843946799947709,5,-1.2040781611250324,-1.2097355975206188,-1.2345985198975666,-1.1509167175220747,-1.2904127014781075,-1.21794833950868,0.045346183054652996,5,{'model__alpha': 0.1},100.0,,,,
random_forest,randomized,0.524051570892334,0.018585813986485195,2.5848044395446776,0.052394842486268196,"{'model__n_estimators': 200, 'model__min_samples_leaf': 3, 'model__max_depth': 5}",0.9524447413520126,0.9489765458045245,0.9370617148597619,0.9439580585234293,0.931815968387467,0.9428514057854391,0.007564066464650039,16,-11.06387762461833,-10.752940491455101,-11.251506333647209,-10.516501033978884,-13.030584476869832,-11.323081992113872,0.8903380130333499,16,-2.410844322284928,-2.3698844884080756,-2.3855732929276074,-2.3445786657179863,-2.4679806158745516,-2.39577227704263,0.04203853818218709,16,"{'model__n_estimators': 400, 'model__min_samples_leaf': 3, 'model__max_depth': 20}",,200.0,3.0,5,
random_forest,randomized,0.8053952693939209,0.2341252924063327,2.2160929679870605,0.4283538513815217,"{'model__n_estimators': 200, 'model__min_samples_leaf': 5, 'model__max_depth': 10}",0.9723084371343585,0.9674414636789623,0.9626469544392221,0.9677328825672831,0.9579024416925545,0.9656064359024761,0.004917641308366214,13,-6.4425275246157945,-6.861550419689992,-6.677621224849843,-6.055057424920775,-8.045223739663578,-6.816396066747997,0.6709290627766796,13,-1.5707676429942388,-1.6196016247865823,-1.5106131712524888,-1.47862803101938,-1.594374816661767,-1.5547970573428915,0.052488145254781474,13,"{'model__n_estimators': 400, 'model__min_samples_leaf': 3, 'model__max_depth': 20}",,200.0,5.0,10,
random_forest,randomized,1.9484537601470948,0.7035662458997824,1.5610089302062988,0.6511866309973129,"{'model__n_estimators': 200, 'model__min_samples_leaf': 1, 'model__max_depth': None}",0.9722762655647433,0.9684138529411203,0.9657631501351082,0.969798057653653,0.9595153477276106,0.967153334804447,0.00436117746709692,6,-6.450012339530793,-6.656624194380815,-6.120537479542492,-5.667518817960915,-7.736982823924167,-6.526335131067836,0.6914774672232477,6,-1.5096139689235142,-1.5544251647799825,-1.4398315556894656,-1.4136926423621554,-1.5393814209673002,-1.4913889505444835,0.05532426969557609,6,"{'model__n_estimators': 400, 'model__min_samples_leaf': 3, 'model__max_depth': 20}",,200.0,1.0,,
random_forest,randomized,2.6774308681488037,0.22415166871158662,0.7934423446655273,0.2193579656153966,"{'model__n_estimators': 200, 'model__min_samples_leaf': 1, 'model__max_depth': 20}",0.9722878208801198,0.968302073978615,0.965566118444864,0.9698873018959355,0.9595519556833446,0.9671190541765757,0.004369244088318051,7,-6.447323959762197,-6.680181057611031,-6.155760925903821,-5.650771768492016,-7.729986712834289,-6.532804884920671,0.6902775701755555,7,-1.5060305671352805,-1.5553840593351245,-1.4421672573136701,-1.4117894687359702,-1.538819811549981,-1.4908382328140053,0.055347580976659705,5,"{'model__n_estimators': 400, 'model__min_samples_leaf': 3, 'model__max_depth': 20}",,200.0,1.0,20,
