feature,importance_mean,importance_std
device_hours_per_day,0.7080885779478815,0.031385655538628744
notifications_per_day,0.3367569540895163,0.007535653368826789
phone_unlocks,0.2808361932116659,0.013107052089181203
age,0.004787444463437718,0.000513224098522381
device_to_sleep_ratio,0.0029651958294307445,0.00025305712841207215
sleep_hours,0.002184429892731976,0.0005459874029669935
sleep_quality,0.0016410905607779358,0.0006350123545401629
notifications_per_device_hour,0.0012647707813312036,0.0005347104006441833
unlocks_per_device_hour,0.0009941378242275922,0.0001961352136580651
social_media_mins,0.0004949957520871906,0.00020685994839526276
social_media_hours,0.0004861970510426916,0.0002338142195388687
social_to_study_ratio,0.0004121060170773072,0.0002631247154025817
study_hours,8.259810336869178e-05,9.882992807677069e-05
study_mins,3.675152000438553e-05,4.195183050927276e-05
education_level,1.1495220331259049e-05,4.87346911890666e-05
gender,4.051474425403878e-06,1.556674005464533e-05
income_level,2.515015341586491e-06,2.9869122410997393e-05
device_type,-7.443620508651438e-06,3.485026207229308e-05
daily_role,-1.548421775673381e-05,5.0022665333257316e-05
physical_activity_days,-2.7999647052756594e-05,1.5443891556229618e-05
region,-5.7625421662177435e-05,7.077739928603504e-05
activity_sleep_interaction,-0.0001361499134711952,0.0001020876303174644
