model,search_type,mean_fit_time,std_fit_time,mean_score_time,std_score_time,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_mse,split1_test_neg_mse,split2_test_neg_mse,split3_test_neg_mse,split4_test_neg_mse,mean_test_neg_mse,std_test_neg_mse,rank_test_neg_mse,split0_test_neg_mae,split1_test_neg_mae,split2_test_neg_mae,split3_test_neg_mae,split4_test_neg_mae,mean_test_neg_mae,std_test_neg_mae,rank_test_neg_mae,best_params,param_model__alpha,param_model__n_estimators,param_model__min_samples_leaf,param_model__max_depth,param_model__learning_rate
linear_regression,grid,0.011340141296386719,0.0008304399279726332,0.004344940185546875,0.0007615591616663259,{},-0.020718106751807408,-0.012396880217722783,0.008598252603940648,0.00948360116025504,0.015946614472803766,0.00018269625349385255,0.014148631374510032,1,-91.4108824174178,-98.99084653758747,-98.80491480306719,-95.54322386557739,-95.61532577951867,-96.0730386806337,2.7641510703710455,1,-7.387098401871036,-7.794433287373249,-7.790199838231773,-7.714382475010496,-7.753811712146761,-7.687985142926664,0.1531938893637382,1,{},,,,,
ridge,grid,0.016068458557128906,0.0007643095023502851,0.007386970520019531,0.00114015692631641,{'model__alpha': 0.01},-0.020718096036222544,-0.012392774835034537,0.008598829432019506,0.009483873513073893,0.015946839892002296,0.00018373439316772268,0.014148052917599277,5,-91.41088145777863,-98.99044511862263,-98.80485731532387,-95.5431975949711,-95.61530387671297,-96.07293707268184,2.7640570190585807,5,-7.387101294569468,-7.794402128246818,-7.790197846759917,-7.714377505090658,-7.7538069699270675,-7.687977148918786,0.15318757858424173,5,{'model__alpha': 100},0.01,,,,
ridge,grid,0.019039726257324217,0.004723179594526499,0.007655620574951172,0.001584099667567355,{'model__alpha': 0.1},-0.0207179926365888,-0.012355937553576224,0.008604011620111374,0.009486315292831504,0.015948856900955377,0.0001930507247466462,0.01414286603943606,4,-91.41087219777658,-98.98684321728635,-98.80434084896272,-95.54296206579632,-95.6151078944919,-96.07202524486277,2.7632133979715094,4,-7.387127230109213,-7.794122318497047,-7.790179941962534,-7.714332868850994,-7.753764341797382,-7.687905340243435,0.15313094691539586,4,{'model__alpha': 100},0.1,,,,
ridge,grid,0.017543220520019533,0.003936578319009951,0.005613136291503906,0.001113782505431261,{'model__alpha': 1},-0.02071627737272519,-0.011998203747876302,0.008654933664016484,0.009509845209489609,0.015967958406561622,0.00028365123189324495,0.014092831366074924,3,-91.41071858652748,-98.95186447233631,-98.79926586475692,-95.54069241726003,-95.61325190099777,-96.0631586483757,2.7550495316781514,3,-7.387377017016924,-7.791384205543507,-7.790002673828634,-7.713895461869958,-7.7533430096750795,-7.68720047358682,0.15258053936732888,3,{'model__alpha': 100},1.0,,,,
ridge,grid,0.016287899017333983,0.0029163307719435325,0.005214023590087891,0.0008746493299100839,{'model__alpha': 10},-0.020639183039787623,-0.009214675963133745,0.009089402865673057,0.009685928709420089,0.01611236692246465,0.0010067678989272855,0.013724875583454055,2,-91.40381436786359,-98.67969475593685,-98.75596586799276,-95.52370775625633,-95.5992204800439,-95.99248064561868,2.694001857356775,2,-7.389089247277343,-7.770613441997485,-7.789431677908884,-7.712105691774437,-7.749777403627101,-7.68220349251705,0.14878880243831483,2,{'model__alpha': 100},10.0,,,,
ridge,grid,0.016783666610717774,0.003636880010733464,0.006139564514160156,0.001665904657130423,{'model__alpha': 100},-0.01805579941995994,-0.00017810253545880173,0.011090859417201115,0.0105667085354757,0.018176177374812807,0.004319968674414176,0.012631459791440055,1,-91.17245825225335,-97.79611039205356,-98.55649704057221,-95.4387495019602,-95.39869080182658,-95.67250119773318,2.5770970696138296,1,-7.384256953438325,-7.699592258125848,-7.785770552131857,-7.7109290507099715,-7.732580295246272,-7.662625821930455,0.14230052647434052,1,{'model__alpha': 100},100.0,,,,
random_forest,randomized,0.7656641960144043,0.27290316742107373,2.7399674892425536,0.43493866830076366,"{'model__n_estimators': 200, 'model__min_samples_leaf': 3, 'model__max_depth': 5}",-0.004751190854343834,0.003500716774307966,0.009079068866531648,0.0070863719931630875,0.018370643668663145,0.006657122089664402,0.007528202550337454,3,-89.98095787506152,-97.43640023801365,-98.75699577328335,-95.77445577979593,-95.37979552814213,-95.4657210388593,2.9967113034139263,3,-7.302869666606997,-7.66965191206351,-7.7427206152095325,-7.755333177177265,-7.7012068261398,-7.634356439439422,0.16850898540827403,3,"{'model__n_estimators': 400, 'model__min_samples_leaf': 3, 'model__max_depth': 5}",,200.0,3.0,5,
random_forest,randomized,0.7285805225372315,0.2481717416225712,2.7812458515167235,0.34835990813650347,"{'model__n_estimators': 200, 'model__min_samples_leaf': 5, 'model__max_depth': 10}",-0.017370422375790007,-0.007447495304944596,-0.003766563827529268,-0.004151077326552732,-0.0023197669566723533,-0.007011065158297791,0.005444655201795111,4,-91.11107899388438,-98.50690213600961,-100.03721506607943,-96.85839758761388,-97.3901746209325,-96.78075368090396,3.036668001518362,4,-7.3898580617843255,-7.723755138397629,-7.79020709352828,-7.817363479581329,-7.7538994932415894,-7.695016653306631,0.15584917141460275,4,"{'model__n_estimators': 400, 'model__min_samples_leaf': 3, 'model__max_depth': 5}",,200.0,5.0,10,
random_forest,randomized,2.230501651763916,1.004664302309357,1.5429792404174805,1.007784488136374,"{'model__n_estimators': 200, 'model__min_samples_leaf': 1, 'model__max_depth': None}",-0.04364535466499553,-0.020736407513015864,-0.02388745045303109,-0.011758331251308762,-0.02271449748969867,-0.02454840827440998,0.010455724513533741,15,-93.46414271454019,-99.80627463976302,-102.04249949695371,-97.59217803343651,-99.37182402408567,-98.45538378175581,2.8701839501056385,15,-7.536570453328702,-7.818780234694911,-7.9049220529293445,-7.888466137083822,-7.830663573092561,-7.795880490225867,0.13374462291022415,16,"{'model__n_estimators': 400, 'model__min_samples_leaf': 3, 'model__max_depth': 5}",,200.0,1.0,,
random_forest,randomized,2.996419382095337,0.7603734566576542,0.7762854099273682,0.761209289934885,"{'model__n_estimators': 200, 'model__min_samples_leaf': 1, 'model__max_depth': 20}",-0.04976289699215308,-0.021482802229686238,-0.02808792394408255,-0.009160008759483418,-0.022281028230763944,-0.026154932031233848,0.013317175465402696,16,-94.01200204872103,-99.87925614168003,-102.46112638207465,-97.34154906070852,-99.32970608107767,-98.60472794285239,2.8181758773882897,16,-7.544165832374348,-7.814350626654566,-7.905109174991483,-7.864708026445757,-7.846136347085705,-7.794894001510372,0.12875584303907628,15,"{'model__n_estimators': 400, 'model__min_samples_leaf': 3, 'model__max_depth': 5}",,200.0,1.0,20,
