feature,importance_mean,importance_std
device_hours_per_day,0.12805838595313587,0.016996385530486602
device_to_sleep_ratio,0.05450764030397663,0.005728728142198982
physical_activity_days,0.03850951439787782,0.013011602441072469
activity_sleep_interaction,0.03277197600796451,0.014495787030638535
sleep_quality,0.02782263829216509,0.006756807734982601
phone_unlocks,0.018875843631172628,0.0034042759229061313
notifications_per_day,0.0058552195051711385,0.0020475148012346345
income_level,0.004955610493363261,0.0029134067927039193
age,0.00462577546637113,0.001507873840826429
region,0.0017300933947537844,0.0032638088400565144
sleep_hours,0.0014480843037231184,0.0003371960270089378
daily_role,0.0007144889362661333,0.0015649901409918643
social_to_study_ratio,0.0001452140365316934,8.169594249218112e-05
study_hours,-2.3714078441239293e-05,3.574492742503265e-05
study_mins,-2.3714078442127472e-05,3.574492742640444e-05
gender,-0.00024160330674758424,0.0015886590877576556
education_level,-0.0006005007357542169,0.0003929178160907741
device_type,-0.000746490948114853,0.0005696546638191588
social_media_hours,-0.0008239703970216894,0.00111741293391168
social_media_mins,-0.000823970397021867,0.0011174129339123287
notifications_per_device_hour,-0.0016204439151789151,0.008819041606687601
unlocks_per_device_hour,-0.002203820421856073,0.0013527822331223203
